Average particle radius (µm), 7.194282352941175, 0.3431028112684972
Escaping voltage (V), 5.75
Escaping force (pN), 60.04031543491651
Stiffness (pN/µm), 4.432152040606949
Rsquared, 0.862581237599535


Time (s), Voltage (V), EF gradient (V^2/m^3), DEP force (pN), Offset (µm)
0.5, 0.5, 148298870431.76248, 0.17079972762862156, 1.1538
1.0, 0.5, 145611946330.1748, 0.21322231605140374, 0.9805414524638925
1.5, 0.5, 145463283554.49692, 0.2130046263484669, 0.9615
2.0, 0.5, 148126681336.3005, 0.15677588258708727, 1.1697152345763475
2.5, 0.75, 327626879242.8933, 0.443784513972562, 0.9805414524638925
3.0, 0.75, 327626879242.8933, 0.4797502111156584, 0.9805414524638925
3.5, 0.75, 327292387997.6182, 0.4433314313834426, 0.9615
4.0, 0.75, 327292387997.6182, 0.4792604092840508, 0.9615
4.5, 1.0, 561526396286.9036, 0.594314242239436, 0.9615
5.0, 1.0, 582447785320.6992, 0.7889502470623324, 0.9805414524638925
5.5, 1.0, 550676683739.073, 0.5828310087992665, 0.8599917441464191
6.0, 1.0, 605342968756.8845, 0.6971894923039992, 1.359766340221731
6.5, 1.25, 910074664563.5922, 1.232734761034894, 0.9805414524638925
7.0, 1.25, 910074664563.5922, 1.232734761034894, 0.9805414524638925
7.5, 1.25, 910074664563.5922, 1.232734761034894, 0.9805414524638925
8.0, 1.25, 877384994198.2866, 1.4927380426160406, 0.9615
8.5, 1.5, 1334689833885.862, 1.954411466667092, 1.1538
9.0, 1.5, 1336059007112.9324, 1.8097486338131024, 1.1697152345763475
9.5, 1.5, 1336059007112.9324, 1.8097486338131024, 1.1697152345763475
10.0, 1.5, 1336059007112.9324, 1.9564163728159978, 1.1697152345763475
10.5, 1.75, 1719674588628.6409, 2.7168651073802765, 0.9615
11.0, 1.75, 1821511272995.1292, 2.467314332846274, 1.2899876162196287
11.5, 1.75, 1686447343950.912, 1.784919964447755, 0.8599917441464191
12.0, 1.75, 1926245808743.0967, 2.2185081957888566, 1.7413505620638254
12.5, 2.0, 2421371875027.538, 3.027669697674425, 1.359766340221731
13.0, 2.0, 2468267765904.426, 3.0863080543918473, 1.550372164997811
13.5, 2.0, 2421371875027.538, 3.279850979227114, 1.359766340221731
14.0, 2.0, 2472352602201.8506, 3.0914157105950206, 1.643011920224561
14.5, 2.25, 3014366303632.2524, 3.190376868160551, 1.5019110126768496
15.0, 2.25, 3304239631521.5366, 3.8055800926903127, 2.1153
15.5, 2.25, 3069600830979.9907, 4.157904613974912, 1.4645131682576296
16.0, 2.25, 3376583465170.4565, 3.5737440959688547, 2.3786196354188283
16.5, 2.5, 3856668384225.6675, 3.4213377215651053, 1.550372164997811
17.0, 2.5, 3856668384225.6675, 5.224021021724698, 1.550372164997811
17.5, 2.5, 4161622439400.1553, 4.404621942821429, 2.3155986375017585
18.0, 2.5, 3931113895394.0776, 5.756404131410765, 1.7413505620638254
18.5, 2.75, 4679448781258.951, 5.38944480807004, 1.8141545716944847
19.0, 2.75, 4674291638537.876, 6.331526423497921, 1.643011920224561
19.5, 2.75, 4952510463951.407, 4.006057376644571, 2.250813792831384
20.0, 2.75, 4682029921164.04, 8.56295939009107, 2.044177039788873
20.5, 3.0, 5670209207467.064, 7.680539042075866, 1.824317982151138
21.0, 3.0, 5890198213893.705, 7.978523488657172, 2.1925573424656424
21.5, 3.0, 5992736312736.217, 8.775276674000292, 2.3155986375017585
22.0, 3.0, 6351425449724.737, 7.315104516360056, 2.9416243573916776
22.5, 3.25, 7033141922586.262, 10.298762207680909, 2.3155986375017585
23.0, 3.25, 7049412390591.417, 9.548728293539817, 2.4324239762015174
23.5, 3.25, 7055340309898.292, 7.4673056471527905, 2.5799752324392573
24.0, 3.25, 7323866559291.108, 9.920488114179681, 2.8587450201093487
24.5, 3.5, 8003808682220.434, 8.471155627691724, 2.1240229236051102
25.0, 3.5, 8484357634702.745, 12.42380471295742, 2.7533169904680426
25.5, 3.5, 8461027729402.824, 9.744789204616207, 2.6922
26.0, 3.5, 8644995751014.231, 9.956670036156748, 2.9416243573916776
26.5, 3.75, 10890203361934.66, 15.946729932702656, 3.8890268204269303
27.0, 3.75, 11061017341672.445, 17.474987574063352, 4.0383
27.5, 3.75, 11506536823152.053, 16.849238630462697, 4.460365233924235
28.0, 3.75, 11941389221442.057, 14.931445544061638, 4.868647131390814
28.5, 4.0, 13577549359761.031, 16.97729092717728, 4.84199027880065
29.0, 4.0, 14052825602945.707, 20.57781725774251, 5.195659890716481
29.5, 4.0, 14532289318360.365, 22.95915171421683, 5.580014532239141
30.0, 4.0, 16239170108256.475, 17.187384495731923, 6.755179039818264
30.5, 4.25, 17707231627973.586, 22.1410222785825, 6.392348195303507
31.0, 4.25, 16742775716043.309, 20.9350720611005, 5.772204110216478
31.5, 4.25, 18682271259923.016, 23.36020631971676, 6.98925189773555
32.0, 4.25, 18332500630023.914, 26.84462602047841, 6.755179039818264
32.5, 4.5, 20918262643024.348, 28.33467462021838, 6.946795912505275
33.0, 4.5, 21693866016986.32, 24.985398716290387, 7.370385133084973
33.5, 4.5, 19851706046586.293, 22.863734402350442, 6.392348195303507
34.0, 4.5, 21304635495419.41, 31.19677909300025, 7.156557597756061
34.5, 4.75, 23720523457910.2, 25.105578326557932, 7.1384495249318665
35.0, 4.75, 22118721860548.305, 27.65712471476912, 6.392348195303507
35.5, 4.75, 24171251951024.883, 32.74098671019404, 7.370385133084973
36.0, 4.75, 24157656741272.375, 38.16599670102244, 7.34777268292916
36.5, 5.0, 25868076299730.03, 35.03940731178532, 7.0182914074580856
37.0, 5.0, 26767486693930.613, 28.33045548054601, 7.34777268292916
37.5, 5.0, 26302019130147.42, 32.88789596067094, 7.156557597756061
38.0, 5.0, 28222493144120.316, 35.289245805874195, 7.942711674233177
38.5, 5.25, 28492412700619.0, 32.81546457218128, 6.965402248255302
39.0, 5.25, 28997976090987.523, 33.39773528754508, 7.156557597756061
39.5, 5.25, 31128064160529.78, 45.58141074122463, 7.968277161971714
40.0, 5.25, 32066840911340.39, 36.93222799082237, 8.2689
40.5, 5.5, 35354790841015.26, 51.770686242603006, 8.32461347210788
41.0, 5.5, 34104438111060.605, 42.64399652527419, 7.905377922654932
41.5, 5.5, 34770493321168.188, 54.932916201322456, 8.188006642034432
42.0, 5.5, 34149216704385.586, 42.69998742510778, 7.942711674233177
42.5, 5.75, 38003287121690.04, 60.04031543491651, 8.188006642034432
